date,l_ipn,r_asn,f,label
01-07-2006,9,8075,2,-1
01-07-2006,9,8912,5,-1
01-07-2006,9,10565,1,-1
01-07-2006,9,10763,6,-1
01-07-2006,9,10794,7,-1
01-07-2006,9,11266,59,-1
01-07-2006,9,11486,15,-1
01-07-2006,9,11499,6,-1
01-07-2006,9,12182,9,-1
01-07-2006,9,12217,12,-1
01-07-2006,9,12222,7,-1
01-07-2006,9,14779,79,-1
01-07-2006,9,14780,328,-1
01-07-2006,9,15169,40,-1
01-07-2006,9,16509,15,-1
01-07-2006,9,17110,8,-1
01-07-2006,9,22758,4,-1
01-07-2006,9,26101,89,-1
01-07-2006,9,30217,6,-1
01-07-2006,9,33419,1,-1
01-07-2006,9,36088,217,-1
02-07-2006,0,209,1,1
02-07-2006,0,701,1,1
02-07-2006,0,766,1,1
02-07-2006,0,2514,1,-1
02-07-2006,0,2711,1,-1
02-07-2006,0,2819,1,-1
02-07-2006,0,2856,1,-1
02-07-2006,0,3269,8,-1
02-07-2006,0,3320,1,-1
02-07-2006,0,3561,14,-1
02-07-2006,0,4766,1,-1
02-07-2006,0,5462,1,-1
02-07-2006,0,9038,1,-1
02-07-2006,0,9708,1,-1
02-07-2006,0,10139,1,-1
02-07-2006,0,11351,2,-1
02-07-2006,0,12322,1,-1
02-07-2006,0,12542,1,-1
02-07-2006,0,12946,1,-1
02-07-2006,0,13462,16,-1
02-07-2006,0,13749,849,-1
02-07-2006,0,15802,1,-1
02-07-2006,0,17506,2,-1
02-07-2006,0,17858,1,-1
02-07-2006,0,19262,1,-1
02-07-2006,0,20401,1,-1
02-07-2006,0,22909,1,-1
02-07-2006,0,24093,2,-1
02-07-2006,0,26085,1,-1
02-07-2006,0,26101,1,-1
02-07-2006,0,28573,1,-1
02-07-2006,0,33651,1,-1
02-07-2006,0,33657,1,-1
02-07-2006,0,35916,1,-1
02-07-2006,1,766,1,1
02-07-2006,1,2852,2,-1
02-07-2006,1,2856,6,-1
02-07-2006,1,3265,1611,-1
02-07-2006,1,3269,50,-1
02-07-2006,1,3354,2,-1
02-07-2006,1,3549,1,-1
02-07-2006,1,3561,8,-1
02-07-2006,1,4134,2,-1
02-07-2006,1,4323,1,-1
02-07-2006,1,4766,1,-1
02-07-2006,1,4808,9,-1
02-07-2006,1,4812,1,-1
02-07-2006,1,4837,3,-1
02-07-2006,1,5432,1,-1
02-07-2006,1,6478,2,-1
02-07-2006,1,7132,1,-1
02-07-2006,1,11351,1,-1
02-07-2006,1,11427,2,-1
02-07-2006,1,11908,1,-1
02-07-2006,1,12302,53,-1
02-07-2006,1,12322,1,-1
02-07-2006,1,13571,2,-1
02-07-2006,1,13749,849,-1
02-07-2006,1,13767,4,-1
02-07-2006,1,14777,7,-1
02-07-2006,1,14778,16,-1
02-07-2006,1,15169,10,-1
02-07-2006,1,16852,2,-1
02-07-2006,1,17184,3,-1
02-07-2006,1,19548,2,-1
02-07-2006,1,19945,1,-1
02-07-2006,1,22773,1,-1
02-07-2006,1,32244,1,-1
02-07-2006,1,33287,1,-1
02-07-2006,1,33653,1,-1
02-07-2006,1,36727,1,-1
02-07-2006,2,174,1,1
02-07-2006,2,766,1,1
02-07-2006,2,1312,92,1
02-07-2006,2,2637,1,-1
02-07-2006,2,2915,38,-1
02-07-2006,2,3557,1,-1
02-07-2006,2,3561,7,-1
02-07-2006,2,4323,16,-1
02-07-2006,2,7018,936,-1
02-07-2006,2,7132,4,-1
02-07-2006,2,7377,83,-1
02-07-2006,2,12513,3,-1
02-07-2006,2,13749,849,-1
02-07-2006,2,29863,4,-1
02-07-2006,3,766,2,1
02-07-2006,3,3269,5,-1
02-07-2006,3,3354,2,-1
02-07-2006,3,3593,2,-1
02-07-2006,3,4134,4,-1
02-07-2006,3,4808,8,-1
02-07-2006,3,4837,1,-1
02-07-2006,3,13582,1,-1
02-07-2006,3,13749,1,-1
02-07-2006,3,17184,4,-1
02-07-2006,4,766,1,1
02-07-2006,4,3269,29,-1
02-07-2006,4,4323,1,-1
02-07-2006,4,13749,390,-1
02-07-2006,4,14778,4,-1
02-07-2006,4,29895,413,-1
02-07-2006,4,31976,85,-1
02-07-2006,4,33651,18,-1
02-07-2006,5,209,1,1
02-07-2006,5,766,1,1
02-07-2006,5,2152,2,-1
02-07-2006,5,3269,5,-1
02-07-2006,5,3356,1,-1
02-07-2006,5,3593,1,-1
02-07-2006,5,4134,10,-1
02-07-2006,5,4808,7,-1
02-07-2006,5,4837,2,-1
02-07-2006,5,8070,5,-1
02-07-2006,5,8075,5,-1
02-07-2006,5,10139,7,-1
02-07-2006,5,11351,2,-1
02-07-2006,5,13749,1,-1
02-07-2006,5,13867,2,-1
02-07-2006,5,14366,4,-1
02-07-2006,5,17184,2,-1
02-07-2006,5,17429,2,-1
02-07-2006,6,766,1,1
02-07-2006,6,3269,5,-1
02-07-2006,6,3354,2,-1
02-07-2006,6,4134,5,-1
02-07-2006,6,4808,8,-1
02-07-2006,6,4812,1,-1
02-07-2006,6,4837,2,-1
02-07-2006,6,13749,1,-1
02-07-2006,6,17184,2,-1
02-07-2006,7,109,7,1
02-07-2006,7,2152,6,-1
02-07-2006,7,3561,1,-1
02-07-2006,7,8070,2,-1
02-07-2006,7,8075,2,-1
02-07-2006,7,17184,2,-1
02-07-2006,7,18924,48,-1
02-07-2006,8,109,7,1
02-07-2006,8,3356,1,-1
02-07-2006,8,3701,4,-1
02-07-2006,8,8075,2,-1
02-07-2006,8,13749,570,-1
02-07-2006,8,15169,105,-1
02-07-2006,9,7132,2,-1
02-07-2006,9,8070,3,-1
03-07-2006,0,52,1,1
03-07-2006,0,209,1,1
03-07-2006,0,701,7,1
03-07-2006,0,2856,1,-1
03-07-2006,0,3269,9,-1
03-07-2006,0,3462,1,-1
03-07-2006,0,3561,28,-1
03-07-2006,0,3790,1,-1
03-07-2006,0,4134,1,-1
03-07-2006,0,4323,1,-1
03-07-2006,0,4513,101,-1
03-07-2006,0,4766,3,-1
03-07-2006,0,4837,1,-1
03-07-2006,0,5384,1,-1
03-07-2006,0,5486,1,-1
03-07-2006,0,6147,1,-1
03-07-2006,0,6432,1,-1
03-07-2006,0,6724,1,-1
03-07-2006,0,7029,1,-1
03-07-2006,0,8151,1,-1
03-07-2006,0,8167,1,-1
03-07-2006,0,9121,2,-1
03-07-2006,0,9394,1,-1
03-07-2006,0,9811,1,-1
03-07-2006,0,12270,1,-1
03-07-2006,0,12970,1,-1
03-07-2006,0,13462,17,-1
03-07-2006,0,13867,1,-1
03-07-2006,0,16338,1,-1
03-07-2006,0,18229,1,-1
03-07-2006,0,19115,1,-1
03-07-2006,0,19864,48,-1
03-07-2006,0,26085,3,-1
03-07-2006,0,26101,2,-1
03-07-2006,0,31976,1,-1
03-07-2006,0,33650,1,-1
03-07-2006,0,33651,1,-1
03-07-2006,0,36727,2,-1
03-07-2006,1,3,5,1
03-07-2006,1,209,1,1
03-07-2006,1,680,2,1
03-07-2006,1,2711,1,-1
03-07-2006,1,3265,1564,-1
03-07-2006,1,3269,30,-1
03-07-2006,1,3320,1074,-1
03-07-2006,1,3462,1,-1
03-07-2006,1,3561,1,-1
03-07-2006,1,4134,7,-1
03-07-2006,1,4230,1,-1
03-07-2006,1,4513,101,-1
03-07-2006,1,4766,3,-1
03-07-2006,1,5617,1,-1
03-07-2006,1,5668,2,-1
03-07-2006,1,6388,1,-1
03-07-2006,1,6461,6,-1
03-07-2006,1,6478,1,-1
03-07-2006,1,7015,1,-1
03-07-2006,1,7132,5,-1
03-07-2006,1,7303,1,-1
03-07-2006,1,7718,1,-1
03-07-2006,1,9271,2,-1
03-07-2006,1,9394,1,-1
03-07-2006,1,9808,1,-1
03-07-2006,1,9908,1,-1
03-07-2006,1,9929,2,-1
03-07-2006,1,11427,1,-1
03-07-2006,1,11456,1,-1
03-07-2006,1,12271,1,-1
03-07-2006,1,12302,190,-1
03-07-2006,1,12322,1,-1
03-07-2006,1,13767,4,-1
03-07-2006,1,14742,2,-1
03-07-2006,1,14777,12,-1
03-07-2006,1,14778,13,-1
03-07-2006,1,14780,1,-1
03-07-2006,1,15169,5,-1
03-07-2006,1,17974,2,-1
03-07-2006,1,18229,1,-1
03-07-2006,1,19318,2,-1
03-07-2006,1,19429,2,-1
03-07-2006,1,20676,2,-1
03-07-2006,1,22773,1,-1
03-07-2006,1,32244,1,-1
03-07-2006,1,33287,2,-1
03-07-2006,1,33651,1,-1
03-07-2006,1,33668,1,-1
03-07-2006,2,1312,103,1
03-07-2006,2,2637,1,-1
03-07-2006,2,3269,3,-1
03-07-2006,2,3561,4,-1
03-07-2006,2,3701,1,-1
03-07-2006,2,4323,8,-1
03-07-2006,2,4513,101,-1
03-07-2006,2,4766,1,-1
03-07-2006,2,5617,10,-1
03-07-2006,2,6106,1,-1
03-07-2006,2,7018,933,-1
03-07-2006,2,7065,1,-1
03-07-2006,2,7132,5,-1
03-07-2006,2,7377,94,-1
03-07-2006,2,9316,1,-1
03-07-2006,2,9394,1,-1
03-07-2006,2,12260,4,-1
03-07-2006,2,16572,8,-1
03-07-2006,2,18229,1,-1
03-07-2006,2,19306,3,-1
03-07-2006,2,29863,8,-1
03-07-2006,2,30099,4,-1
03-07-2006,3,680,2,1
03-07-2006,3,3269,6,-1
03-07-2006,3,4134,6,-1
03-07-2006,3,4230,1,-1
03-07-2006,3,4513,1,-1
03-07-2006,3,4766,2,-1
03-07-2006,3,4808,1,-1
03-07-2006,3,7132,1,-1
03-07-2006,3,9271,1,-1
03-07-2006,3,9394,1,-1
03-07-2006,3,17429,1,-1
03-07-2006,3,18229,1,-1
03-07-2006,3,19318,1,-1
03-07-2006,4,3269,6,-1
03-07-2006,4,4513,101,-1
03-07-2006,4,4766,1,-1
03-07-2006,4,7132,15,-1
03-07-2006,4,9394,1,-1
03-07-2006,4,9803,2,-1
03-07-2006,4,14777,2,-1
03-07-2006,4,18229,1,-1
03-07-2006,4,22855,34,-1
03-07-2006,4,31976,82,-1
03-07-2006,5,680,2,1
03-07-2006,5,2152,2,-1
03-07-2006,5,3269,6,-1
03-07-2006,5,3561,4,-1
03-07-2006,5,4134,3,-1
03-07-2006,5,4230,2,-1
03-07-2006,5,4513,2,-1
03-07-2006,5,4766,1,-1
03-07-2006,5,4808,3,-1
03-07-2006,5,6432,4,-1
03-07-2006,5,7132,2,-1
03-07-2006,5,8070,6,-1
03-07-2006,5,8075,6,-1
03-07-2006,5,9156,1,-1
03-07-2006,5,9271,2,-1
03-07-2006,5,9316,1,-1
03-07-2006,5,9394,1,-1
03-07-2006,5,12222,3,-1
03-07-2006,5,13867,2,-1
03-07-2006,5,14779,1,-1
03-07-2006,5,15169,3,-1
03-07-2006,5,18229,2,-1
03-07-2006,5,19318,6,-1
03-07-2006,5,21844,1,-1
03-07-2006,5,22781,1,-1
03-07-2006,5,26085,1,-1
03-07-2006,5,26101,2,-1
03-07-2006,5,26201,1,-1
03-07-2006,6,680,2,1
03-07-2006,6,3269,6,-1
03-07-2006,6,4134,9,-1
03-07-2006,6,4230,1,-1
03-07-2006,6,4513,2,-1
03-07-2006,6,4766,1,-1
03-07-2006,6,4808,1,-1
03-07-2006,6,4837,1,-1
03-07-2006,6,7132,2,-1
03-07-2006,6,9271,2,-1
03-07-2006,6,9394,1,-1
03-07-2006,6,9808,1,-1
03-07-2006,6,18229,2,-1
03-07-2006,6,19318,2,-1
03-07-2006,6,23844,1,-1
03-07-2006,6,33314,1,-1
03-07-2006,7,3,2,1
03-07-2006,7,109,7,1
03-07-2006,7,1103,3,1
03-07-2006,7,1239,7,1
03-07-2006,7,1784,2,1
03-07-2006,7,2152,33,-1
03-07-2006,7,2637,1,-1
03-07-2006,7,2914,36,-1
03-07-2006,7,3320,2,-1
03-07-2006,7,3356,1,-1
03-07-2006,7,3561,5,-1
03-07-2006,7,3701,3,-1
03-07-2006,7,4264,2,-1
03-07-2006,7,6102,2,-1
03-07-2006,7,6432,8,-1
03-07-2006,7,6461,1,-1
03-07-2006,7,7018,1,-1
03-07-2006,7,7132,2,-1
03-07-2006,7,8070,1,-1
03-07-2006,7,8075,2,-1
03-07-2006,7,8121,3,-1
03-07-2006,7,8560,1,-1
03-07-2006,7,9156,11,-1
03-07-2006,7,10565,11,-1
03-07-2006,7,10910,9,-1
03-07-2006,7,12182,3,-1
03-07-2006,7,12222,4,-1
03-07-2006,7,13649,1,-1
03-07-2006,7,13749,1,-1
03-07-2006,7,14745,1,-1
03-07-2006,7,14992,4,-1
03-07-2006,7,15169,130,-1
03-07-2006,7,16966,16,-1
03-07-2006,7,18924,56,-1
03-07-2006,7,19024,2,-1
03-07-2006,7,19355,2,-1
03-07-2006,7,21844,46,-1
03-07-2006,7,23352,4,-1
03-07-2006,7,25751,7,-1
03-07-2006,7,30081,29,-1
03-07-2006,7,30380,10,-1
03-07-2006,7,33694,2,-1
03-07-2006,8,25,3,1
03-07-2006,8,109,7,1
03-07-2006,8,786,1,1
03-07-2006,8,2386,36,-1
03-07-2006,8,2553,41,-1
03-07-2006,8,2843,4,-1
03-07-2006,8,3561,10,-1
03-07-2006,8,3701,4,-1
03-07-2006,8,3999,1,-1
03-07-2006,8,4267,2,-1
03-07-2006,8,4323,17,-1
03-07-2006,8,6307,10,-1
03-07-2006,8,6334,20,-1
03-07-2006,8,7132,22,-1
03-07-2006,8,7258,3,-1
03-07-2006,8,8070,2,-1
03-07-2006,8,10763,2,-1
03-07-2006,8,11734,1,-1
03-07-2006,8,11771,10,-1
03-07-2006,8,12222,4,-1
03-07-2006,8,13749,279,-1
03-07-2006,8,15169,253,-1
03-07-2006,8,17820,2,-1
03-07-2006,8,18229,169,-1
03-07-2006,8,22822,14,-1
03-07-2006,8,23123,3,-1
03-07-2006,8,30217,26,-1
03-07-2006,8,30315,2,-1
03-07-2006,8,30387,3,-1
03-07-2006,9,102,8,1
03-07-2006,9,209,7,1
03-07-2006,9,797,143,1
03-07-2006,9,1239,3,1
03-07-2006,9,2013,19,-1
03-07-2006,9,2152,14,-1
03-07-2006,9,3356,2,-1
03-07-2006,9,3561,7,-1
03-07-2006,9,3707,81,-1
03-07-2006,9,4355,4,-1
03-07-2006,9,6307,11,-1
03-07-2006,9,6334,3,-1
03-07-2006,9,6432,3,-1
03-07-2006,9,6453,10,-1
03-07-2006,9,6939,3,-1
03-07-2006,9,7018,6,-1
03-07-2006,9,7224,4,-1
03-07-2006,9,7743,23,-1
03-07-2006,9,7912,3,-1
03-07-2006,9,8002,1,-1
03-07-2006,9,8070,3,-1
03-07-2006,9,10565,1,-1
03-07-2006,9,10763,6,-1
03-07-2006,9,10794,8,-1
03-07-2006,9,11266,44,-1
03-07-2006,9,12168,4,-1
03-07-2006,9,12179,6,-1
03-07-2006,9,12182,9,-1
03-07-2006,9,12217,12,-1
03-07-2006,9,14297,10,-1
03-07-2006,9,14443,12,-1
03-07-2006,9,14744,2,-1
03-07-2006,9,15104,60,-1
03-07-2006,9,15169,255,-1
03-07-2006,9,17392,5,-1
03-07-2006,9,19296,5,-1
03-07-2006,9,19355,3,-1
03-07-2006,9,19536,26,-1
03-07-2006,9,20461,6,-1
03-07-2006,9,30678,7,-1
04-07-2006,0,701,4,1
04-07-2006,0,2152,1,-1
04-07-2006,0,3064,1,-1
04-07-2006,0,3269,7,-1
04-07-2006,0,3462,1,-1
04-07-2006,0,3561,34,-1
04-07-2006,0,4538,1,-1
04-07-2006,0,4766,2714,-1
04-07-2006,0,4808,1,-1
04-07-2006,0,4812,1,-1
04-07-2006,0,4837,1,-1
04-07-2006,0,5760,1,-1
04-07-2006,0,6724,1,-1
04-07-2006,0,7018,1,-1
04-07-2006,0,7029,2,-1
04-07-2006,0,7132,1,-1
04-07-2006,0,8167,1,-1
04-07-2006,0,9121,1,-1
04-07-2006,0,9800,65,-1
04-07-2006,0,10796,1,-1
04-07-2006,0,11172,1,-1
04-07-2006,0,11398,1,-1
04-07-2006,0,13462,32,-1
04-07-2006,0,13609,1,-1
04-07-2006,0,14780,1,-1
04-07-2006,0,18229,79,-1
04-07-2006,0,19191,1,-1
04-07-2006,0,19262,2,-1
04-07-2006,0,20172,1,-1
04-07-2006,0,22291,2,-1
04-07-2006,0,22773,1,-1
04-07-2006,0,22909,1,-1
04-07-2006,0,23520,1,-1
04-07-2006,0,26085,3,-1
04-07-2006,0,27262,1,-1
04-07-2006,0,31976,1,-1
04-07-2006,0,33774,1,-1
04-07-2006,0,35908,1,-1
04-07-2006,1,852,2,1
04-07-2006,1,1103,2,1
04-07-2006,1,2418,2,-1
04-07-2006,1,2516,3,-1
04-07-2006,1,2828,2,-1
04-07-2006,1,3242,1,-1
04-07-2006,1,3265,1493,-1
04-07-2006,1,3269,20,-1
04-07-2006,1,3354,2,-1
04-07-2006,1,3356,1,-1
04-07-2006,1,3462,1,-1
04-07-2006,1,3561,6,-1
04-07-2006,1,3741,2,-1
04-07-2006,1,4134,8,-1
04-07-2006,1,4266,2,-1
04-07-2006,1,4323,1,-1
04-07-2006,1,4589,2,-1
04-07-2006,1,4766,15,-1
04-07-2006,1,4812,4,-1
04-07-2006,1,4837,3,-1
04-07-2006,1,5379,3,-1
04-07-2006,1,6713,5,-1
04-07-2006,1,8075,2,-1
04-07-2006,1,8708,1,-1
04-07-2006,1,9269,1,-1
04-07-2006,1,9271,2,-1
04-07-2006,1,9800,1,-1
04-07-2006,1,9808,1,-1
04-07-2006,1,9812,1,-1
04-07-2006,1,9929,1,-1
04-07-2006,1,11232,1,-1
04-07-2006,1,11351,3,-1
04-07-2006,1,12302,201,-1
04-07-2006,1,14777,12,-1
04-07-2006,1,14778,6,-1
04-07-2006,1,15169,12,-1
04-07-2006,1,17429,1,-1
04-07-2006,1,18229,66,-1
04-07-2006,1,19191,18,-1
04-07-2006,1,20115,2,-1
04-07-2006,1,22773,1,-1
04-07-2006,1,31094,1,-1
04-07-2006,1,33651,2,-1
04-07-2006,2,81,29,1
04-07-2006,2,1312,85,1
04-07-2006,2,2914,1,-1
04-07-2006,2,3269,4,-1
04-07-2006,2,3462,1,-1
04-07-2006,2,3561,11,-1
04-07-2006,2,4812,1,-1
04-07-2006,2,5617,411,-1
04-07-2006,2,7018,935,-1
04-07-2006,2,7065,1,-1
04-07-2006,2,7132,3,-1
04-07-2006,2,7377,73,-1
04-07-2006,2,9800,1,-1
04-07-2006,2,18229,11,-1
04-07-2006,2,19181,1,-1
04-07-2006,2,29863,8,-1
04-07-2006,2,30099,4,-1
04-07-2006,2,33260,4,-1
04-07-2006,3,852,1,1
04-07-2006,3,2418,1,-1
04-07-2006,3,3269,26,-1
04-07-2006,3,3354,2,-1
04-07-2006,3,4134,1,-1
04-07-2006,3,4589,2,-1
04-07-2006,3,4812,4,-1
04-07-2006,3,9271,1,-1
04-07-2006,3,9800,2,-1
04-07-2006,3,9812,1,-1
04-07-2006,3,18229,4,-1
04-07-2006,3,27699,2,-1
04-07-2006,4,3269,4,-1
04-07-2006,4,4323,1,-1
04-07-2006,4,4812,1,-1
04-07-2006,4,7132,15,-1
04-07-2006,4,9800,1,-1
04-07-2006,4,14778,7,-1
04-07-2006,4,18229,14,-1
04-07-2006,4,20001,14,-1
04-07-2006,4,29895,28,-1
04-07-2006,4,31976,83,-1
04-07-2006,4,33651,19,-1
04-07-2006,5,852,2,1
04-07-2006,5,2152,2,-1
04-07-2006,5,2418,2,-1
04-07-2006,5,3269,22,-1
04-07-2006,5,3354,2,-1
04-07-2006,5,3356,1,-1
04-07-2006,5,3561,2,-1
04-07-2006,5,4134,4,-1
04-07-2006,5,4589,4,-1
04-07-2006,5,4812,1,-1
04-07-2006,5,8070,4,-1
04-07-2006,5,8075,5,-1
04-07-2006,5,9271,2,-1
04-07-2006,5,9800,2,-1
04-07-2006,5,9812,1,-1
04-07-2006,5,13867,2,-1
04-07-2006,5,18229,2,-1
04-07-2006,5,19191,2,-1
04-07-2006,5,27699,2,-1
04-07-2006,6,4,1,1
04-07-2006,6,852,2,1
04-07-2006,6,2418,1,-1
04-07-2006,6,3269,38,-1
04-07-2006,6,3354,2,-1
04-07-2006,6,4134,2,-1
04-07-2006,6,4589,2,-1
04-07-2006,6,4812,1,-1
04-07-2006,6,9271,4,-1
04-07-2006,6,9800,2,-1
04-07-2006,6,9808,1,-1
04-07-2006,6,9812,1,-1
04-07-2006,6,9929,1,-1
04-07-2006,6,17429,1,-1
04-07-2006,6,18229,2,-1
04-07-2006,6,19191,4,-1
04-07-2006,6,27699,4,-1
04-07-2006,7,109,8,1
04-07-2006,7,209,3,1
04-07-2006,7,852,2,1
04-07-2006,7,2152,34,-1
04-07-2006,7,3356,1,-1
04-07-2006,7,3561,2,-1
04-07-2006,7,4264,1,-1
04-07-2006,7,6432,9,-1
04-07-2006,7,7018,3,-1
04-07-2006,7,8070,3,-1
04-07-2006,7,9156,1,-1
04-07-2006,7,9271,4,-1
04-07-2006,7,10565,1,-1
04-07-2006,7,12168,2,-1
04-07-2006,7,15169,52,-1
04-07-2006,7,17225,4,-1
04-07-2006,7,18924,48,-1
04-07-2006,7,19306,7,-1
04-07-2006,7,21568,7,-1
